"id","temp_c","humid_p","rainfal_mm","lat","lon","create_time"
"205","29.4","78","0","13.9192","100.605","2026-04-13 04:00:00"
"206","30.4","77","0","13.9192","100.605","2026-04-13 07:00:00"
"207","35.2","45","0.01","13.9192","100.605","2026-04-13 10:00:00"
"208","36.9","38","0","13.9192","100.605","2026-04-13 13:00:00"
"209","37.6","24","0","13.9192","100.605","2026-04-13 16:00:00"
"210","33.1","49","0","13.9192","100.605","2026-04-13 19:00:00"
"211","30.9","69","0","13.9192","100.605","2026-04-13 22:00:00"
"212","29.9","78","0","13.9192","100.605","2026-04-14 01:00:00"
"213","29.4","82","0","13.9192","100.605","2026-04-14 04:00:00"
"214","29.9","81","0","13.9192","100.605","2026-04-14 07:00:00"
"215","34.7","31","0","13.9192","100.605","2026-04-14 10:00:00"
"216","38.8","35","0","13.9192","100.605","2026-04-14 13:00:00"
"217","38.7","33","0","13.9192","100.605","2026-04-14 16:00:00"
"218","33.3","43","0","13.9192","100.605","2026-04-14 19:00:00"
"219","30.6","70","0","13.9192","100.605","2026-04-14 22:00:00"
"220","29.8","78","0","13.9192","100.605","2026-04-15 01:00:00"
"221","29.3","80","0","13.9192","100.605","2026-04-15 04:00:00"
"222","28.5","86","0","13.9192","100.605","2026-04-15 07:00:00"
"223","34.3","57","0","13.9192","100.605","2026-04-15 10:00:00"
"224","36.7","46","0","13.9192","100.605","2026-04-15 13:00:00"
"225","37.4","36","0","13.9192","100.605","2026-04-15 16:00:00"
"226","32.5","56","0","13.9192","100.605","2026-04-15 19:00:00"
"227","30.6","71","0","13.9192","100.605","2026-04-15 22:00:00"
"228","29.9","76","0","13.9192","100.605","2026-04-16 01:00:00"
"229","29.5","79","0","13.9192","100.605","2026-04-16 04:00:00"
"230","30","79","0","13.9192","100.605","2026-04-16 07:00:00"
"231","34.6","52","0","13.9192","100.605","2026-04-16 10:00:00"
"232","37.5","44","0","13.9192","100.605","2026-04-16 13:00:00"
"233","37.6","36","0","13.9192","100.605","2026-04-16 16:00:00"
"234","33","51","0","13.9192","100.605","2026-04-16 19:00:00"
"235","30.3","77","0","13.9192","100.605","2026-04-16 22:00:00"
"236","29.8","80","0","13.9192","100.605","2026-04-17 01:00:00"
"237","29.6","79","0","13.9192","100.605","2026-04-17 04:00:00"
"238","30.2","78","0","13.9192","100.605","2026-04-17 07:00:00"
"239","34.3","57","0","13.9192","100.605","2026-04-17 10:00:00"
"240","35.8","51","0","13.9192","100.605","2026-04-17 13:00:00"
"241","36.4","50","0","13.9192","100.605","2026-04-17 16:00:00"
"242","32.2","57","0","13.9192","100.605","2026-04-17 19:00:00"
"243","30.9","71","0","13.9192","100.605","2026-04-17 22:00:00"
"244","30.2","74","0","13.9192","100.605","2026-04-18 01:00:00"
"245","29.6","76","0","13.9192","100.605","2026-04-18 04:00:00"
"246","28.3","83","0","13.9192","100.605","2026-04-18 07:00:00"
"247","34","57","0","13.9192","100.605","2026-04-18 10:00:00"
"248","37.7","45","0","13.9192","100.605","2026-04-18 13:00:00"
"249","36.9","49","0","13.9192","100.605","2026-04-18 16:00:00"
"250","32.5","57","0","13.9192","100.605","2026-04-18 19:00:00"
"251","30.7","68","0","13.9192","100.605","2026-04-18 22:00:00"
"252","30.3","71","0","13.9192","100.605","2026-04-19 01:00:00"
"253","29.8","75","0","13.9192","100.605","2026-04-19 04:00:00"
"254","30.4","72","0","13.9192","100.605","2026-04-19 07:00:00"
"255","34.4","56","0","13.9192","100.605","2026-04-19 10:00:00"
"256","36.3","48","0","13.9192","100.605","2026-04-19 13:00:00"
"257","36.3","47","0","13.9192","100.605","2026-04-19 16:00:00"
"258","31","66","0","13.9192","100.605","2026-04-19 22:00:00"
"259","30.3","72","0","13.9192","100.605","2026-04-20 01:00:00"
"260","30.1","73","0","13.9192","100.605","2026-04-20 04:00:00"
"261","29.4","72","0","13.9192","100.605","2026-04-20 07:00:00"
"262","33.7","56","0","13.9192","100.605","2026-04-20 10:00:00"
"263","36.6","44","0","13.9192","100.605","2026-04-20 13:00:00"
"264","35.8","48","0","13.9192","100.605","2026-04-20 16:00:00"
"265","31.8","64","0","13.9192","100.605","2026-04-20 19:00:00"
"266","30.8","69","0","13.9192","100.605","2026-04-20 22:00:00"
